Lambda: 0.056114    best accuracy: 0.429400

Lambda: 0.930180    best accuracy: 0.169200

Lambda: 0.000135    best accuracy: 0.515000

Lambda: 0.001426    best accuracy: 0.516600

Lambda: 0.236430    best accuracy: 0.315800

Lambda: 0.052621    best accuracy: 0.430400

Lambda: 0.081421    best accuracy: 0.398800

Lambda: 0.123101    best accuracy: 0.365000

Lambda: 0.003654    best accuracy: 0.515400

Lambda: 0.037298    best accuracy: 0.453600

Lambda: 0.000042    best accuracy: 0.517200

Lambda: 0.000218    best accuracy: 0.514600

Lambda: 0.043551    best accuracy: 0.444600

Lambda: 0.000012    best accuracy: 0.520400

Lambda: 0.002622    best accuracy: 0.521600

