Lambda: 0.000780    best accuracy: 0.515000

Lambda: 0.000062    best accuracy: 0.514800

Lambda: 0.000038    best accuracy: 0.517400

Lambda: 0.000026    best accuracy: 0.514800

Lambda: 0.000059    best accuracy: 0.521800

Lambda: 0.000939    best accuracy: 0.520800

Lambda: 0.000147    best accuracy: 0.517000

Lambda: 0.000077    best accuracy: 0.516600

Lambda: 0.000010    best accuracy: 0.522200

Lambda: 0.000594    best accuracy: 0.514400

Lambda: 0.000348    best accuracy: 0.519400

Lambda: 0.000030    best accuracy: 0.526000

Lambda: 0.000065    best accuracy: 0.516600

Lambda: 0.000223    best accuracy: 0.517400

Lambda: 0.000308    best accuracy: 0.523200

